image_path,mask_path,num_classes
./processed/ISIC2018\images\49.png,./processed/ISIC2018\masks\49.png,2
./processed/ISIC2018\images\422.png,./processed/ISIC2018\masks\422.png,2
./processed/ISIC2018\images\418.png,./processed/ISIC2018\masks\418.png,2
./processed/ISIC2018\images\171.png,./processed/ISIC2018\masks\171.png,2
./processed/ISIC2018\images\853.png,./processed/ISIC2018\masks\853.png,2
./processed/ISIC2018\images\424.png,./processed/ISIC2018\masks\424.png,2
./processed/ISIC2018\images\596.png,./processed/ISIC2018\masks\596.png,2
./processed/ISIC2018\images\657.png,./processed/ISIC2018\masks\657.png,2
./processed/ISIC2018\images\799.png,./processed/ISIC2018\masks\799.png,2
./processed/ISIC2018\images\827.png,./processed/ISIC2018\masks\827.png,2
./processed/ISIC2018\images\346.png,./processed/ISIC2018\masks\346.png,2
./processed/ISIC2018\images\577.png,./processed/ISIC2018\masks\577.png,2
./processed/ISIC2018\images\781.png,./processed/ISIC2018\masks\781.png,2
./processed/ISIC2018\images\725.png,./processed/ISIC2018\masks\725.png,2
./processed/ISIC2018\images\737.png,./processed/ISIC2018\masks\737.png,2
./processed/ISIC2018\images\441.png,./processed/ISIC2018\masks\441.png,2
./processed/ISIC2018\images\811.png,./processed/ISIC2018\masks\811.png,2
./processed/ISIC2018\images\427.png,./processed/ISIC2018\masks\427.png,2
./processed/ISIC2018\images\485.png,./processed/ISIC2018\masks\485.png,2
./processed/ISIC2018\images\569.png,./processed/ISIC2018\masks\569.png,2
./processed/ISIC2018\images\667.png,./processed/ISIC2018\masks\667.png,2
./processed/ISIC2018\images\467.png,./processed/ISIC2018\masks\467.png,2
./processed/ISIC2018\images\351.png,./processed/ISIC2018\masks\351.png,2
./processed/ISIC2018\images\104.png,./processed/ISIC2018\masks\104.png,2
./processed/ISIC2018\images\66.png,./processed/ISIC2018\masks\66.png,2
./processed/ISIC2018\images\238.png,./processed/ISIC2018\masks\238.png,2
./processed/ISIC2018\images\575.png,./processed/ISIC2018\masks\575.png,2
./processed/ISIC2018\images\473.png,./processed/ISIC2018\masks\473.png,2
./processed/ISIC2018\images\19.png,./processed/ISIC2018\masks\19.png,2
./processed/ISIC2018\images\278.png,./processed/ISIC2018\masks\278.png,2
./processed/ISIC2018\images\45.png,./processed/ISIC2018\masks\45.png,2
./processed/ISIC2018\images\620.png,./processed/ISIC2018\masks\620.png,2
./processed/ISIC2018\images\429.png,./processed/ISIC2018\masks\429.png,2
./processed/ISIC2018\images\306.png,./processed/ISIC2018\masks\306.png,2
./processed/ISIC2018\images\609.png,./processed/ISIC2018\masks\609.png,2
./processed/ISIC2018\images\709.png,./processed/ISIC2018\masks\709.png,2
./processed/ISIC2018\images\10.png,./processed/ISIC2018\masks\10.png,2
./processed/ISIC2018\images\714.png,./processed/ISIC2018\masks\714.png,2
./processed/ISIC2018\images\875.png,./processed/ISIC2018\masks\875.png,2
./processed/ISIC2018\images\318.png,./processed/ISIC2018\masks\318.png,2
./processed/ISIC2018\images\64.png,./processed/ISIC2018\masks\64.png,2
./processed/ISIC2018\images\240.png,./processed/ISIC2018\masks\240.png,2
./processed/ISIC2018\images\561.png,./processed/ISIC2018\masks\561.png,2
./processed/ISIC2018\images\841.png,./processed/ISIC2018\masks\841.png,2
./processed/ISIC2018\images\601.png,./processed/ISIC2018\masks\601.png,2
./processed/ISIC2018\images\611.png,./processed/ISIC2018\masks\611.png,2
./processed/ISIC2018\images\848.png,./processed/ISIC2018\masks\848.png,2
./processed/ISIC2018\images\632.png,./processed/ISIC2018\masks\632.png,2
./processed/ISIC2018\images\566.png,./processed/ISIC2018\masks\566.png,2
./processed/ISIC2018\images\502.png,./processed/ISIC2018\masks\502.png,2
./processed/ISIC2018\images\408.png,./processed/ISIC2018\masks\408.png,2
./processed/ISIC2018\images\41.png,./processed/ISIC2018\masks\41.png,2
./processed/ISIC2018\images\757.png,./processed/ISIC2018\masks\757.png,2
./processed/ISIC2018\images\684.png,./processed/ISIC2018\masks\684.png,2
./processed/ISIC2018\images\29.png,./processed/ISIC2018\masks\29.png,2
./processed/ISIC2018\images\495.png,./processed/ISIC2018\masks\495.png,2
./processed/ISIC2018\images\17.png,./processed/ISIC2018\masks\17.png,2
./processed/ISIC2018\images\231.png,./processed/ISIC2018\masks\231.png,2
./processed/ISIC2018\images\843.png,./processed/ISIC2018\masks\843.png,2
./processed/ISIC2018\images\152.png,./processed/ISIC2018\masks\152.png,2
./processed/ISIC2018\images\819.png,./processed/ISIC2018\masks\819.png,2
./processed/ISIC2018\images\98.png,./processed/ISIC2018\masks\98.png,2
./processed/ISIC2018\images\720.png,./processed/ISIC2018\masks\720.png,2
./processed/ISIC2018\images\52.png,./processed/ISIC2018\masks\52.png,2
./processed/ISIC2018\images\721.png,./processed/ISIC2018\masks\721.png,2
./processed/ISIC2018\images\218.png,./processed/ISIC2018\masks\218.png,2
./processed/ISIC2018\images\834.png,./processed/ISIC2018\masks\834.png,2
./processed/ISIC2018\images\247.png,./processed/ISIC2018\masks\247.png,2
./processed/ISIC2018\images\583.png,./processed/ISIC2018\masks\583.png,2
./processed/ISIC2018\images\148.png,./processed/ISIC2018\masks\148.png,2
./processed/ISIC2018\images\568.png,./processed/ISIC2018\masks\568.png,2
./processed/ISIC2018\images\697.png,./processed/ISIC2018\masks\697.png,2
./processed/ISIC2018\images\748.png,./processed/ISIC2018\masks\748.png,2
./processed/ISIC2018\images\820.png,./processed/ISIC2018\masks\820.png,2
./processed/ISIC2018\images\63.png,./processed/ISIC2018\masks\63.png,2
./processed/ISIC2018\images\619.png,./processed/ISIC2018\masks\619.png,2
./processed/ISIC2018\images\282.png,./processed/ISIC2018\masks\282.png,2
./processed/ISIC2018\images\644.png,./processed/ISIC2018\masks\644.png,2
./processed/ISIC2018\images\5.png,./processed/ISIC2018\masks\5.png,2
./processed/ISIC2018\images\665.png,./processed/ISIC2018\masks\665.png,2
./processed/ISIC2018\images\500.png,./processed/ISIC2018\masks\500.png,2
./processed/ISIC2018\images\767.png,./processed/ISIC2018\masks\767.png,2
./processed/ISIC2018\images\638.png,./processed/ISIC2018\masks\638.png,2
./processed/ISIC2018\images\425.png,./processed/ISIC2018\masks\425.png,2
./processed/ISIC2018\images\43.png,./processed/ISIC2018\masks\43.png,2
./processed/ISIC2018\images\253.png,./processed/ISIC2018\masks\253.png,2
./processed/ISIC2018\images\787.png,./processed/ISIC2018\masks\787.png,2
./processed/ISIC2018\images\373.png,./processed/ISIC2018\masks\373.png,2
./processed/ISIC2018\images\39.png,./processed/ISIC2018\masks\39.png,2
./processed/ISIC2018\images\816.png,./processed/ISIC2018\masks\816.png,2
./processed/ISIC2018\images\18.png,./processed/ISIC2018\masks\18.png,2
./processed/ISIC2018\images\846.png,./processed/ISIC2018\masks\846.png,2
./processed/ISIC2018\images\261.png,./processed/ISIC2018\masks\261.png,2
./processed/ISIC2018\images\810.png,./processed/ISIC2018\masks\810.png,2
./processed/ISIC2018\images\160.png,./processed/ISIC2018\masks\160.png,2
./processed/ISIC2018\images\216.png,./processed/ISIC2018\masks\216.png,2
./processed/ISIC2018\images\542.png,./processed/ISIC2018\masks\542.png,2
./processed/ISIC2018\images\670.png,./processed/ISIC2018\masks\670.png,2
./processed/ISIC2018\images\22.png,./processed/ISIC2018\masks\22.png,2
./processed/ISIC2018\images\246.png,./processed/ISIC2018\masks\246.png,2
./processed/ISIC2018\images\123.png,./processed/ISIC2018\masks\123.png,2
./processed/ISIC2018\images\532.png,./processed/ISIC2018\masks\532.png,2
./processed/ISIC2018\images\272.png,./processed/ISIC2018\masks\272.png,2
./processed/ISIC2018\images\368.png,./processed/ISIC2018\masks\368.png,2
./processed/ISIC2018\images\543.png,./processed/ISIC2018\masks\543.png,2
./processed/ISIC2018\images\491.png,./processed/ISIC2018\masks\491.png,2
./processed/ISIC2018\images\224.png,./processed/ISIC2018\masks\224.png,2
./processed/ISIC2018\images\254.png,./processed/ISIC2018\masks\254.png,2
./processed/ISIC2018\images\103.png,./processed/ISIC2018\masks\103.png,2
./processed/ISIC2018\images\739.png,./processed/ISIC2018\masks\739.png,2
./processed/ISIC2018\images\529.png,./processed/ISIC2018\masks\529.png,2
./processed/ISIC2018\images\164.png,./processed/ISIC2018\masks\164.png,2
./processed/ISIC2018\images\658.png,./processed/ISIC2018\masks\658.png,2
./processed/ISIC2018\images\386.png,./processed/ISIC2018\masks\386.png,2
./processed/ISIC2018\images\499.png,./processed/ISIC2018\masks\499.png,2
./processed/ISIC2018\images\229.png,./processed/ISIC2018\masks\229.png,2
./processed/ISIC2018\images\309.png,./processed/ISIC2018\masks\309.png,2
./processed/ISIC2018\images\297.png,./processed/ISIC2018\masks\297.png,2
./processed/ISIC2018\images\423.png,./processed/ISIC2018\masks\423.png,2
./processed/ISIC2018\images\440.png,./processed/ISIC2018\masks\440.png,2
./processed/ISIC2018\images\217.png,./processed/ISIC2018\masks\217.png,2
./processed/ISIC2018\images\832.png,./processed/ISIC2018\masks\832.png,2
./processed/ISIC2018\images\842.png,./processed/ISIC2018\masks\842.png,2
./processed/ISIC2018\images\851.png,./processed/ISIC2018\masks\851.png,2
./processed/ISIC2018\images\135.png,./processed/ISIC2018\masks\135.png,2
./processed/ISIC2018\images\588.png,./processed/ISIC2018\masks\588.png,2
./processed/ISIC2018\images\196.png,./processed/ISIC2018\masks\196.png,2
./processed/ISIC2018\images\47.png,./processed/ISIC2018\masks\47.png,2
./processed/ISIC2018\images\149.png,./processed/ISIC2018\masks\149.png,2
./processed/ISIC2018\images\415.png,./processed/ISIC2018\masks\415.png,2
./processed/ISIC2018\images\402.png,./processed/ISIC2018\masks\402.png,2
./processed/ISIC2018\images\535.png,./processed/ISIC2018\masks\535.png,2
./processed/ISIC2018\images\12.png,./processed/ISIC2018\masks\12.png,2
./processed/ISIC2018\images\406.png,./processed/ISIC2018\masks\406.png,2
./processed/ISIC2018\images\477.png,./processed/ISIC2018\masks\477.png,2
./processed/ISIC2018\images\481.png,./processed/ISIC2018\masks\481.png,2
./processed/ISIC2018\images\144.png,./processed/ISIC2018\masks\144.png,2
./processed/ISIC2018\images\457.png,./processed/ISIC2018\masks\457.png,2
./processed/ISIC2018\images\83.png,./processed/ISIC2018\masks\83.png,2
./processed/ISIC2018\images\693.png,./processed/ISIC2018\masks\693.png,2
./processed/ISIC2018\images\336.png,./processed/ISIC2018\masks\336.png,2
./processed/ISIC2018\images\833.png,./processed/ISIC2018\masks\833.png,2
./processed/ISIC2018\images\679.png,./processed/ISIC2018\masks\679.png,2
./processed/ISIC2018\images\82.png,./processed/ISIC2018\masks\82.png,2
./processed/ISIC2018\images\795.png,./processed/ISIC2018\masks\795.png,2
./processed/ISIC2018\images\114.png,./processed/ISIC2018\masks\114.png,2
./processed/ISIC2018\images\69.png,./processed/ISIC2018\masks\69.png,2
./processed/ISIC2018\images\733.png,./processed/ISIC2018\masks\733.png,2
./processed/ISIC2018\images\173.png,./processed/ISIC2018\masks\173.png,2
./processed/ISIC2018\images\153.png,./processed/ISIC2018\masks\153.png,2
./processed/ISIC2018\images\343.png,./processed/ISIC2018\masks\343.png,2
./processed/ISIC2018\images\355.png,./processed/ISIC2018\masks\355.png,2
./processed/ISIC2018\images\57.png,./processed/ISIC2018\masks\57.png,2
./processed/ISIC2018\images\704.png,./processed/ISIC2018\masks\704.png,2
./processed/ISIC2018\images\109.png,./processed/ISIC2018\masks\109.png,2
./processed/ISIC2018\images\262.png,./processed/ISIC2018\masks\262.png,2
./processed/ISIC2018\images\436.png,./processed/ISIC2018\masks\436.png,2
./processed/ISIC2018\images\592.png,./processed/ISIC2018\masks\592.png,2
./processed/ISIC2018\images\3.png,./processed/ISIC2018\masks\3.png,2
./processed/ISIC2018\images\769.png,./processed/ISIC2018\masks\769.png,2
./processed/ISIC2018\images\699.png,./processed/ISIC2018\masks\699.png,2
./processed/ISIC2018\images\442.png,./processed/ISIC2018\masks\442.png,2
./processed/ISIC2018\images\453.png,./processed/ISIC2018\masks\453.png,2
./processed/ISIC2018\images\796.png,./processed/ISIC2018\masks\796.png,2
./processed/ISIC2018\images\587.png,./processed/ISIC2018\masks\587.png,2
./processed/ISIC2018\images\257.png,./processed/ISIC2018\masks\257.png,2
./processed/ISIC2018\images\635.png,./processed/ISIC2018\masks\635.png,2
./processed/ISIC2018\images\488.png,./processed/ISIC2018\masks\488.png,2
./processed/ISIC2018\images\245.png,./processed/ISIC2018\masks\245.png,2
./processed/ISIC2018\images\321.png,./processed/ISIC2018\masks\321.png,2
./processed/ISIC2018\images\854.png,./processed/ISIC2018\masks\854.png,2
./processed/ISIC2018\images\803.png,./processed/ISIC2018\masks\803.png,2
